Skąd czerpiesz informacje o suplementach?;Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka);Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5
Internet (artykuły, blogi);Lekarz;Dietetyk;4;5
Internet (artykuły, blogi);Znajomi/rodzina;4;4
Internet (artykuły, blogi);Lekarz;3;3
Reklamy;Znajomi/rodzina;2;1
Media społecznościowe;Dietetyk;Farmaceuta;3;2
Dietetyk;Znajomi/rodzina;4;4
Internet (artykuły, blogi);Lekarz;Dietetyk;Znajomi/rodzina;4;4
Internet (artykuły, blogi);Lekarz;Dietetyk;książki;4;4
Internet (artykuły, blogi);Lekarz;5;5
Internet (artykuły, blogi);Media społecznościowe;5;5
Dietetyk;4;4
Lekarz;Dietetyk;Badania naukowe;4;3
Internet (artykuły, blogi);Dietetyk;Badania naukowe ;3;2
Internet (artykuły, blogi);Media społecznościowe;Dietetyk;5;5
Internet (artykuły, blogi);Dietetyk;4;3
Dietetyk;Farmaceuta;Znajomi/rodzina;4;5
Dietetyk;4;4
Internet (artykuły, blogi);Lekarz;Dietetyk;Znajomi/rodzina;4;5
Internet (artykuły, blogi);Dietetyk;Znajomi/rodzina;5;5
Internet (artykuły, blogi);Reklamy;Dietetyk;2;3
Dietetyk;5;5
Internet (artykuły, blogi);Media społecznościowe;Reklamy;Dietetyk;4;4
Lekarz;5;5
Internet (artykuły, blogi);5;5
Internet (artykuły, blogi);3;3
Dietetyk;PubMed;4;4
Dietetyk;badania naukowe, studia ;4;5
Internet (artykuły, blogi);5;5
Internet (artykuły, blogi);Media społecznościowe;Dietetyk;3;2
Lekarz;5;5
Lekarz;Książki ;4;4
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk;4;4
Internet (artykuły, blogi);Media społecznościowe;Dietetyk;Znajomi/rodzina;3;3
Internet (artykuły, blogi);1;1
Internet (artykuły, blogi);Lekarz;3;2
Farmaceuta;2;2
Media społecznościowe;4;4
Internet (artykuły, blogi);Lekarz;1;2
Internet (artykuły, blogi);Lekarz;Dietetyk;Farmaceuta;4;3
Internet (artykuły, blogi);Reklamy;Dietetyk;Farmaceuta;3;4
Internet (artykuły, blogi);Media społecznościowe;Znajomi/rodzina;1;1
Internet (artykuły, blogi);Lekarz;Dietetyk;Farmaceuta;2;2
Internet (artykuły, blogi);Znajomi/rodzina;2;3
Media społecznościowe;Farmaceuta;Znajomi/rodzina;3;2
Internet (artykuły, blogi);Dietetyk;Farmaceuta;Znajomi/rodzina;4;3
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk;3;4
Media społecznościowe;Znajomi/rodzina;4;3
Lekarz;Dietetyk;5;5
Internet (artykuły, blogi);Farmaceuta;Znajomi/rodzina;3;3
Internet (artykuły, blogi);Farmaceuta;2;2
Internet (artykuły, blogi);Media społecznościowe;Farmaceuta;Znajomi/rodzina;2;2
Znajomi/rodzina;1;2
Internet (artykuły, blogi);Media społecznościowe;Reklamy;Lekarz;2;3
Internet (artykuły, blogi);Media społecznościowe;Reklamy;2;2
Dietetyk;Interesuję się ziołami i jestem członkiem grupy stosującej nutraceutyki Arbonne;4;4
Media społecznościowe;Znajomi/rodzina;3;3
Internet (artykuły, blogi);Lekarz;Farmaceuta;Znajomi/rodzina;4;4
Internet (artykuły, blogi);2;2
Media społecznościowe;Znajomi/rodzina;4;3
Internet (artykuły, blogi);Media społecznościowe;Lekarz;3;3
Internet (artykuły, blogi);Media społecznościowe;Lekarz;4;4
Lekarz;3;3
Znajomi/rodzina;2;1
Media społecznościowe;Reklamy;Lekarz;Znajomi/rodzina;2;2
Dietetyk;4;5
Internet (artykuły, blogi);Reklamy;2;1
Internet (artykuły, blogi);Media społecznościowe;Farmaceuta;Znajomi/rodzina;3;4
Internet (artykuły, blogi);Lekarz;Farmaceuta;Znajomi/rodzina;4;3
Internet (artykuły, blogi);Media społecznościowe;4;4
Internet (artykuły, blogi);Media społecznościowe;Reklamy;Znajomi/rodzina;3;2
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Farmaceuta;2;2
Farmaceuta;Rzetelne zrodla w internecie ;4;4
Internet (artykuły, blogi);Lekarz;Dietetyk;Farmaceuta;4;3
Internet (artykuły, blogi);Media społecznościowe;Reklamy;2;2
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk;4;4
Internet (artykuły, blogi);Lekarz;Farmaceuta;4;4
Internet (artykuły, blogi);Media społecznościowe;3;3
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk;Farmaceuta;4;4
Znajomi/rodzina;4;4
Internet (artykuły, blogi);5;5
Lekarz;Farmaceuta;4;4
Internet (artykuły, blogi);Media społecznościowe;Farmaceuta;Znajomi/rodzina;4;2
Internet (artykuły, blogi);Lekarz;Dietetyk;Znajomi/rodzina;4;4
Internet (artykuły, blogi);Znajomi/rodzina;3;3
Internet (artykuły, blogi);Lekarz;2;2
Lekarz;Dietetyk;Farmaceuta;4;3
Internet (artykuły, blogi);Lekarz;Dietetyk;4;4
Internet (artykuły, blogi);Farmaceuta;4;4
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Farmaceuta;4;4
Internet (artykuły, blogi);Media społecznościowe;4;4
Internet (artykuły, blogi);Lekarz;Dietetyk;3;3
Internet (artykuły, blogi);4;3
Internet (artykuły, blogi);3;3
Internet (artykuły, blogi);1;1
Internet (artykuły, blogi);5;5
Internet (artykuły, blogi);Media społecznościowe;4;5
Internet (artykuły, blogi);Lekarz;Dietetyk;Farmaceuta;4;4
Lekarz;2;3
Lekarz;Znajomi/rodzina;5;4
Internet (artykuły, blogi);4;5
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Farmaceuta;Znajomi/rodzina;3;3
Internet (artykuły, blogi);Farmaceuta;3;3
Lekarz;1;1
Internet (artykuły, blogi);Lekarz;3;4
Internet (artykuły, blogi);Media społecznościowe;Lekarz;Dietetyk;2;4
Internet (artykuły, blogi);Lekarz;Znajomi/rodzina;3;2
Internet (artykuły, blogi);Lekarz;Farmaceuta;Literatura;3;3
