"Czy aktualnie stosujesz suplementy diety?";"Jak często stosujesz suplementy?";"Od jak dawna stosujesz suplementy?";"Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi)";"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?";"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?";"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?";"Czy konsultujesz suplementację ze specjalistą?";"Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi)";"Skąd czerpiesz informacje o suplementach?"
"Nie";"Codziennie";"< 3 miesięcy";"Witamina D,Witamina C";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Witamina C,Kreatyna,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Znajomi/rodzina"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności";"Internet (artykuły, blogi),Lekarz"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Witamina D,Magnez,Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności,Poprawa samopoczucia";"Reklamy,Znajomi/rodzina"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Witamina D,Witamina C,Multiwitaminy";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności";"Media społecznościowe,Dietetyk,Farmaceuta"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji";"Dietetyk,Znajomi/rodzina"
"Tak";"Codziennie";">3 lat";"Witamina D,Multiwitaminy,Kwasy omega-3,Probiotyki,żelazo";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Znajomi/rodzina"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Kwasy omega-3,Probiotyki,Białko,Adaptogeny (np. ashwagandha)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,książki"
"Tak";"Kilka razy w miesiącu";">3 lat";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii";"Internet (artykuły, blogi),Lekarz"
"Tak";"Codziennie";">3 lat";"Witamina D,Kwasy omega-3,Kreatyna,Białko,Kolagen";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kreatyna";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Zapobieganie niedoborom,Zwiększenie energii";"Dietetyk"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności";"Lekarz,Dietetyk,Badania naukowe"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności";"Internet (artykuły, blogi),Dietetyk,Badania naukowe "
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Dietetyk"
"Tak";"Codziennie";">3 lat";"Witamina D,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Dietetyk"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki,Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Dietetyk,Farmaceuta,Znajomi/rodzina"
"Tak";"Kilka razy w miesiącu";"< 3 miesięcy";"Witamina D,Magnez,Kwasy omega-3,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii";"Dietetyk"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia, zlecone przez lekarza";"Internet (artykuły, blogi),Lekarz,Dietetyk,Znajomi/rodzina"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Dietetyk,Znajomi/rodzina"
"Tak";"Codziennie";"3–12 miesięcy";"Multiwitaminy,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności";"Internet (artykuły, blogi),Reklamy,Dietetyk"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Kreatyna,Białko,Cytrulina, beta alanina";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Z trenerem";"Poprawa wyników sportowych i regeneracji ";"Dietetyk"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z dietetykiem";"Poprawa zdrowia,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Reklamy,Dietetyk"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Witamina C,Kwasy omega-3,Probiotyki,Witamina A, E, K, B6, B12, Cynk, Kwas foliowy";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia";"Lekarz"
"Tak";"Codziennie";">3 lat";"Witamina D,Kreatyna";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Zwiększenie energii";"Internet (artykuły, blogi)"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii";"Internet (artykuły, blogi)"
"Tak";"Codziennie";">3 lat";"Witamina D,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Na podstawie własnej wiedzy";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa koncentracji,Poprawa samopoczucia";"Dietetyk,PubMed"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Kwasy omega-3,Kreatyna,complex B, laktoferyna + szczep L. plantarum (problemy z żelazem i niską ferrytyna)";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Dietetyk,badania naukowe, studia "
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Kwasy omega-3,Probiotyki,Kreatyna";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi)"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa koncentracji";"Internet (artykuły, blogi),Media społecznościowe,Dietetyk"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Wzmocnienie odporności";"Lekarz"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności";"Lekarz,Książki "
"Tak";"Codziennie";"1–3 lata";"Witamina D,Kreatyna,Białko,Żelazo";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk"
"Tak";"Codziennie";">3 lat";"Witamina D,Magnez,Witamina C,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji";"Internet (artykuły, blogi),Media społecznościowe,Dietetyk,Znajomi/rodzina"
"Tak";"Sporadycznie";"3–12 miesięcy";"Witamina D";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Stosuję tylko jeden preparat.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności";"Internet (artykuły, blogi)"
"Tak";"Codziennie";"1–3 lata";"Magnez,Kwasy omega-3,Probiotyki,Adaptogeny (np. ashwagandha)";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Stosuję tylko jeden preparat.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz"
"Tak";"Codziennie";"< 3 miesięcy";"Multiwitaminy";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z farmaceutą";"Poprawa wyglądu (skóra, włosy, paznokcie)";"Farmaceuta"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Witamina D,Kwasy omega-3,Witamina E";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra, włosy, paznokcie),Poprawa koncentracji,Poprawa samopoczucia";"Media społecznościowe"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Magnez,Witamina C";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Zwiększenie energii,Poprawa koncentracji";"Internet (artykuły, blogi),Lekarz"
"Tak";"Codziennie";">3 lat";"Witamina D,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko,Adaptogeny (np. ashwagandha)";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta"
"Tak";"Codziennie";"1–3 lata";"Witamina D,Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Reklamy,Dietetyk,Farmaceuta"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Witamina C,Multiwitaminy";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Media społecznościowe,Znajomi/rodzina"
"Tak";"Codziennie";"< 3 miesięcy";"Białko";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Farmaceuta"
"Tak";"Kilka razy w tygodniu";"3–12 miesięcy";"Magnez,Multiwitaminy,Kwasy omega-3,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Wzmocnienie odporności,Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Znajomi/rodzina"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina C,Multiwitaminy,Probiotyki";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z farmaceutą";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie)";"Media społecznościowe,Farmaceuta,Znajomi/rodzina"
"Tak";"Kilka razy w tygodniu";"1–3 lata";"Witamina D,Magnez,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Często – uważam, że standardowe dawki są zbyt niskie.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa samopoczucia";"Internet (artykuły, blogi),Dietetyk,Farmaceuta,Znajomi/rodzina"
"Tak";"Codziennie";"3–12 miesięcy";"Witamina D,Probiotyki";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie)";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk"
"Nie";"Codziennie";"1–3 lata";"Witamina D,Witamina C,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności";"Media społecznościowe,Znajomi/rodzina"
"Tak";"Kilka razy w tygodniu";"< 3 miesięcy";"Witamina D,Magnez,Witamina C,Glutation liposomalny";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa samopoczucia";"Lekarz,Dietetyk"
"Tak";"Codziennie";"< 3 miesięcy";"Witamina D,Probiotyki,Magnesium citrate";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Farmaceuta,Znajomi/rodzina"
"Tak";"Sporadycznie";"1–3 lata";"Multiwitaminy,Kwasy omega-3,Probiotyki";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności";"Internet (artykuły, blogi),Farmaceuta"
"Tak";"Kilka razy w tygodniu";">3 lat";"Witamina D,Witamina C,Multiwitaminy,Kwasy omega-3,Probiotyki,Białko";"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"Nie, nie sprawdzam tego.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z farmaceutą";"Poprawa zdrowia,Zwiększenie energii,Poprawa koncentracji";"Internet (artykuły, blogi),Media społecznościowe,Farmaceuta,Znajomi/rodzina"
"Nie";"Sporadycznie";"1–3 lata";"Witamina D,Witamina C";"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa samopoczucia";"Znajomi/rodzina"
