Timestamp,Płeć ,Wiek,Kierunek studiów,Rok studiów,Jak często uprawiasz aktywność fizyczną?,Czy aktualnie stosujesz suplementy diety?  ,Jak często stosujesz suplementy?,Od jak dawna stosujesz suplementy?,Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi),Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?  ,"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?  ","Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?  ",Czy konsultujesz suplementację ze specjalistą?  ,Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi),Skąd czerpiesz informacje o suplementach?,"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)",Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5,Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?,Suplement diety to:,Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?,Nadmierne spożycie witaminy D może prowadzić do:,Kto odpowiada za bezpieczeństwo suplementów diety?,Czy suplementy mogą wchodzić w interakcje z lekami?,Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?,W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?  ,Które źródło uznał(a)byś za najbardziej wiarygodne?,Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?
2026/04/30 09:15:00 AM EET,Kobieta,23–25,Administracja ,I,Rzadziej niż raz w tygodniu,Nie,Codziennie,< 3 miesięcy,Witamina D;Witamina C,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,"Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Lekarz;Dietetyk",4,5,2,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Posty na Instagramie/TikToku,Lekarz,posty na ig
2026/04/29 05:19:05 PM EET,Kobieta,23–25,Behawiorystyka i psychologia zwierząt ,I,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,Witamina D;Magnez;Witamina C;Kreatyna;Białko,"Często – uważam, że standardowe dawki są zbyt niskie.","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Znajomi/rodzina",4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Nie wiem,Tak,Tak,Podcasty;Posty na Instagramie/TikToku,Naukowe portale internetowe,Rzetelność informacji 
2026/03/21 01:58:35 PM EET,Kobieta,>25,Bezpieczeństwo wewnętrzne ,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Nie,Sporadycznie,< 3 miesięcy,Witamina D,Nigdy – stosuję się ściśle do zaleceń.,Stosuję tylko jeden preparat.,"Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Zapobieganie niedoborom;Wzmocnienie odporności,"Internet (artykuły, blogi);Lekarz",3,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Posty na Instagramie/TikToku,Lekarz,Nie wiem 
2026/04/12 5:02:02 pm EET,Mężczyzna,20–22,Business,III,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,3–12 miesięcy,Witamina D;Magnez;Multiwitaminy,Nigdy – stosuję się ściśle do zaleceń.,"Nie, nie sprawdzam tego.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Wzmocnienie odporności;Poprawa samopoczucia,Reklamy;Znajomi/rodzina,2,1,1,Środek spożywczy uzupełniający dietę,Nie wiem,Nie wiem,Ministerstwo Zdrowia,Tak,Tak,Konsultacje z farmaceutą,Dietetyk,więcej informacji
2026/04/27 12:25:18 PM EET,Kobieta,>25,Business,IV,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,< 3 miesięcy,Witamina D;Witamina C;Multiwitaminy,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności,Media społecznościowe;Dietetyk;Farmaceuta,3,2,2,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Ministerstwo Zdrowia,Nie,Tak,Podcasty;Warsztaty na uczelni;Konsultacje z farmaceutą,Dietetyk,Więcej warsztatów na ten temat
2026/04/20 11:01:32 AM EET,Kobieta,20–22,Dietetyka,II,1–2 razy w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Multiwitaminy;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Tak, z dietetykiem",Wzmocnienie odporności;Zwiększenie energii;Poprawa koncentracji,Dietetyk;Znajomi/rodzina,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Warsztaty na uczelni;Artykuły popularnonaukowe,Instytucje zdrowia publicznego,aby dać mi więcej motywacji i bardziej świadomy sposób rozumienia suplementów
2026/05/12 05:05:53 PM EET,Kobieta,20–22,Dietetyka,II,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Multiwitaminy;Kwasy omega-3;Probiotyki;żelazo,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z lekarzem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Lekarz;Dietetyk;Znajomi/rodzina",4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Warsztaty na uczelni;Konsultacje z farmaceutą,Instytucje zdrowia publicznego,Już teraz jestem zachęcony do dowiedzenia się więcej o suplementach
2026/03/16 10:29:54 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Tak,Codziennie,< 3 miesięcy,Witamina D;Kwasy omega-3;Probiotyki;Białko;Adaptogeny (np. ashwagandha),Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Poprawa samopoczucia,"Internet (artykuły, blogi);Lekarz;Dietetyk;książki",4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Nie wiem,Krótkie filmy edukacyjne;Infografiki;Podcasty;Warsztaty na uczelni;Konsultacje z farmaceutą;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Instytucje zdrowia publicznego,ciekawość
2026/03/16 6:53:00 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,1–2 razy w tygodniu,Tak,Kilka razy w miesiącu,>3 lat,Witamina D,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Tak, z lekarzem",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Zwiększenie energii,"Internet (artykuły, blogi);Lekarz",5,5,5,Preparat o udowodnionym działaniu terapeutycznym,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki;Warsztaty na uczelni,Naukowe portale internetowe,Nie wiem
2026/03/16 6:55:55 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Kwasy omega-3;Kreatyna;Białko;Kolagen,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,"Podcasty;Warsztaty na uczelni;Artykuły popularnonaukowe;specjalistyczne szkolenia, webinary edukacyjne",Naukowe portale internetowe,"nie potrzebuję zachęty, wiem jak ważna jest rzetelna wiedza na temat suplementów i staram się ją ciągle poszerzać. "
2026/03/17 1:35:20 pm EET,Mężczyzna,>25,Dietetyka,Studia magisterskie uzupełniające,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Kreatyna,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).","Nie, nie konsultuję",Zapobieganie niedoborom;Zwiększenie energii,Dietetyk,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Instytucje zdrowia publicznego,Konsekwencje zdrowotne przy niestosowaniu się do zaleceń 
2026/03/17 5:36:22 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina D;Magnez;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności,Lekarz;Dietetyk;Badania naukowe,4,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Naukowe portale internetowe,Czas
2026/03/17 7:24:08 pm EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,Rzadziej niż raz w tygodniu,Tak,Kilka razy w tygodniu,1–3 lata,Witamina D;Magnez;Kwasy omega-3,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Nie, nie konsultuję",Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności,"Internet (artykuły, blogi);Dietetyk;Badania naukowe ",3,2,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni,Badania naukowe,Więcej czasu 
2026/03/18 11:49:27 AM EET,Kobieta,>25,Dietetyka,V,1–2 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Media społecznościowe;Dietetyk",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Podcasty;Warsztaty na uczelni;Artykuły popularnonaukowe,Dietetyk,naukowe dowody na ich skuteczność
2026/04/01 9:09:15 pm EET,Kobieta,23–25,Dietetyka,V,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Dietetyk",4,3,3,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Ministerstwo Zdrowia,Tak,Tak,Krótkie filmy edukacyjne;Infografiki;Konsultacje z farmaceutą,Dietetyk,Bardziej atrakcyjne i zachęcające metody zdobywania wiedzy 
2026/04/12 5:17:05 pm EET,Kobieta,< 20,Dietetyka,II,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Witamina C;Kwasy omega-3;Probiotyki;Białko,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia",Dietetyk;Farmaceuta;Znajomi/rodzina,4,5,4,Środek spożywczy uzupełniający dietę,Tak,Uszkodzenia nerek,Sanepid bada każdy produkt przed sprzedażą,Tak,Tak,Warsztaty na uczelni;Konsultacje z farmaceutą;Posty na Instagramie/TikToku;Artykuły popularnonaukowe,Instytucje zdrowia publicznego,"Edukacja o tym, jak sprawdzać suplementy w rejestrach"
2026/04/13 11:13:51 am EET,Kobieta,>25,Dietetyka,V,1–2 razy w tygodniu,Tak,Kilka razy w miesiącu,< 3 miesięcy,Witamina D;Magnez;Kwasy omega-3;Białko,"Często – uważam, że standardowe dawki są zbyt niskie.","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z dietetykiem","Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii",Dietetyk,4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki;Podcasty,Dietetyk,Jestem zachęcona
2026/04/13 11:52:07 am EET,Kobieta,23–25,Dietetyka,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,Witamina D;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem","Poprawa zdrowia, zlecone przez lekarza","Internet (artykuły, blogi);Lekarz;Dietetyk;Znajomi/rodzina",4,5,5,Preparat o udowodnionym działaniu terapeutycznym,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Infografiki;Konsultacje z farmaceutą,Lekarz,Szybki dostęp do informacji
2026/04/25 03:41:45 PM EET,Kobieta,23–25,Dietetyka,V,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Multiwitaminy;Kwasy omega-3;Probiotyki,Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Tak, z dietetykiem","Poprawa zdrowia;Zapobieganie niedoborom;Wzmocnienie odporności;Poprawa wyglądu (skóra, włosy, paznokcie);Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia","Internet (artykuły, blogi);Dietetyk;Znajomi/rodzina",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Konsultacje z farmaceutą,Dietetyk,poprawić mój ogólny stan zdrowia
2026/04/26 10:17:01 AM EET,Kobieta,< 20,Dietetyka,I,1–2 razy w tygodniu,Tak,Codziennie,3–12 miesięcy,Multiwitaminy;Kwasy omega-3;Probiotyki,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Stosuję tylko jeden preparat.,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Nie, nie konsultuję",Poprawa zdrowia;Wzmocnienie odporności,"Internet (artykuły, blogi);Reklamy;Dietetyk",2,3,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Artykuły popularnonaukowe,Dietetyk,"moje studia dietetyczne są ważnym powodem, aby dowiedzieć się więcej"
2026/05/03 04:21:38 PM EET,Kobieta,>25,Dietetyka,Studia magisterskie uzupełniające,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,"Witamina D;Magnez;Kwasy omega-3;Kreatyna;Białko;Cytrulina, beta alanina",Nigdy – stosuję się ściśle do zaleceń.,"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.",Zrobiłem/am badania tylko w przypadku niektórych preparatów.,Z trenerem,Poprawa wyników sportowych i regeneracji ,Dietetyk,5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Podcasty,Naukowe portale internetowe,-
2026/05/06 08:09:05 AM EET,Kobieta,23–25,Dietetyka,IV,3–4 razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Magnez;Multiwitaminy;Kwasy omega-3;Probiotyki;Białko,"Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).",Czasami zwracam na to uwagę,"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.","Tak, z dietetykiem",Poprawa zdrowia;Wzmocnienie odporności;Zwiększenie energii;Poprawa koncentracji;Poprawa samopoczucia,"Internet (artykuły, blogi);Media społecznościowe;Reklamy;Dietetyk",4,4,4,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne;Warsztaty na uczelni;Posty na Instagramie/TikToku,Dietetyk,Więcej ciekawych filmików edukacyjnych
2026/03/16 6:56:47 pm EET,Kobieta,23–25,Dietetyka,Studia magisterskie uzupełniające,3–4 razy w tygodniu,Tak,Codziennie,1–3 lata,"Witamina D;Witamina C;Kwasy omega-3;Probiotyki;Witamina A, E, K, B6, B12, Cynk, Kwas foliowy","Sporadycznie (np. gdy czuję, że „bierze mnie przeziębienie”).","Tak, zawsze analizuję składy pod kątem powtarzających się substancji.","Tak, każdą suplementację konsultuję z wynikami badań","Tak, z lekarzem",Poprawa zdrowia,Lekarz,5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Krótkie filmy edukacyjne,Lekarz,Nic
2026/03/19 03:53:27 PM EET,Mężczyzna,>25,Dietetyka,Studia magisterskie uzupełniające,5 lub więcej razy w tygodniu,Tak,Codziennie,>3 lat,Witamina D;Kreatyna,Nigdy – stosuję się ściśle do zaleceń.,Czasami zwracam na to uwagę,Zrobiłem/am badania tylko w przypadku niektórych preparatów.,"Nie, nie konsultuję",Zwiększenie energii,"Internet (artykuły, blogi)",5,5,5,Środek spożywczy uzupełniający dietę,Nie,Uszkodzenia nerek,Producent,Tak,Tak,Artykuły popularnonaukowe,Naukowe portale internetowe,Skutki uboczne 
